Date,Stock_symbol,AvgSentiment,HeadlineCount,AvgConfidence
2020-03-09,AAPL,-0.3333333333333333,3,0.8489131728808085
2020-03-10,AAPL,-0.375,8,0.8191877827048302
2020-03-11,AAPL,-0.21428571428571427,14,0.8309892586299351
2020-03-12,AAPL,-0.2,5,0.8054698824882507
2020-03-13,AAPL,0.18181818181818182,11,0.76332888007164
2020-03-14,AAPL,-0.5,2,0.9149385988712311
2020-03-15,AAPL,-0.25,4,0.8800017684698105
2020-03-16,AAPL,-0.5454545454545454,11,0.7842805493961681
2020-03-17,AAPL,-0.16666666666666666,12,0.8296787391106287
2020-03-18,AAPL,0.0,4,0.8325753957033157
2020-03-19,AAPL,0.0,2,0.630140483379364
2020-03-20,AAPL,0.0,2,0.8477528989315033
2020-03-21,AAPL,0.0,1,0.9260072708129884
2020-03-23,AAPL,-0.25,8,0.8317509554326534
2020-03-24,AAPL,0.14285714285714285,7,0.8092714377811977
2020-03-25,AAPL,0.25,12,0.7730485598246256
2020-03-26,AAPL,0.0,1,0.8596790432929993
2020-03-27,AAPL,0.25,12,0.7551671812931696
2020-03-28,AAPL,0.0,1,0.9369295835494996
2020-03-29,AAPL,0.0,1,0.8679038286209106
2020-03-30,AAPL,-0.25,4,0.8267475441098213
2020-03-31,AAPL,0.2,5,0.8775585651397705
2020-04-01,AAPL,-0.5714285714285714,7,0.8908487132617405
2020-04-02,AAPL,0.0,4,0.780454620718956
2020-04-03,AAPL,-0.8,5,0.7132400631904602
2020-04-04,AAPL,0.0,2,0.8951326906681061
2020-04-05,AAPL,0.0,1,0.8040558099746704
2020-04-06,AAPL,0.4,5,0.9199166417121887
2020-04-07,AAPL,0.5,2,0.9243184924125671
2020-04-08,AAPL,0.1,10,0.8031376421451568
2020-04-09,AAPL,0.2,5,0.7645809531211853
2020-04-11,AAPL,0.0,1,0.9375407099723816
2020-04-12,AAPL,1.0,1,0.949540913105011
2020-04-13,AAPL,-0.16666666666666666,6,0.8043464024861654
2020-04-14,AAPL,0.4,5,0.8327100396156311
2020-04-15,AAPL,0.3333333333333333,6,0.751713623603185
2020-04-16,AAPL,0.375,8,0.7927494794130325
2020-04-17,AAPL,0.0,10,0.766355323791504
2020-04-18,AAPL,0.5,2,0.8172497153282166
2020-04-19,AAPL,0.0,1,0.9334813356399536
2020-04-20,AAPL,0.0,3,0.7372945348421732
2020-04-21,AAPL,0.0,6,0.8728953103224436
2020-04-22,AAPL,0.5,4,0.9204277843236923
2020-04-23,AAPL,-0.5,6,0.8086809714635214
2020-04-24,AAPL,-0.16666666666666666,6,0.7601544509331385
2020-04-25,AAPL,0.0,1,0.9417586922645568
2020-04-26,AAPL,0.0,1,0.9179365634918212
2020-04-27,AAPL,-0.125,16,0.8312284555286169
2020-04-28,AAPL,-0.5,2,0.6896775215864182
2020-04-29,AAPL,0.75,4,0.8692465424537659
2020-04-30,AAPL,0.08333333333333333,36,0.8467619013455179
2020-05-01,AAPL,0.32142857142857145,28,0.8215808740683964
2020-05-02,AAPL,0.0,1,0.8020058274269104
2020-05-04,AAPL,0.14285714285714285,7,0.8097284010478428
2020-05-05,AAPL,0.16666666666666666,6,0.8658327758312225
2020-05-06,AAPL,0.2,5,0.8449586272239685
2020-05-08,AAPL,-0.2857142857142857,7,0.7987378409930638
2020-05-09,AAPL,0.0,1,0.9425463676452636
2020-05-11,AAPL,0.0,2,0.8229051530361176
2020-05-12,AAPL,0.125,8,0.840512104332447
2020-05-13,AAPL,0.0,3,0.6611444552739462
2020-05-14,AAPL,0.0,6,0.8212273766597112
2020-05-15,AAPL,-0.5714285714285714,7,0.7932236790657043
2020-05-16,AAPL,-1.0,1,0.9345306754112244
2020-05-17,AAPL,0.0,1,0.9393224716186525
2020-05-18,AAPL,0.5,2,0.8176161050796509
2020-05-19,AAPL,-0.25,4,0.8299364894628525
2020-05-20,AAPL,0.5714285714285714,7,0.8027010815484183
2020-05-21,AAPL,-0.2,5,0.7482110142707825
2020-05-22,AAPL,0.0,1,0.7809237837791443
2020-05-25,AAPL,0.0,1,0.6912891268730164
2020-05-26,AAPL,0.6666666666666666,3,0.8368722001711527
2020-05-27,AAPL,0.45454545454545453,11,0.6862552924589678
2020-05-28,AAPL,-0.08333333333333333,12,0.8027750824888548
2020-05-29,AAPL,0.16666666666666666,6,0.8692286709944407
2020-05-30,AAPL,-0.3333333333333333,6,0.7026906410853068
2020-05-31,AAPL,-0.375,8,0.8467757403850555
2020-06-01,AAPL,-0.2222222222222222,9,0.8485454850726657
2020-06-02,AAPL,0.0,9,0.8047248588667976
2020-06-09,AAPL,0.6,5,0.8552560210227966
2020-06-10,AAPL,0.4,5,0.8611591219902038
