Stock_symbol,Date,Headlines,Headline_count
AAPL,2020-03-09,"['Crude Awakening: Energy Sector Takes A 20% Spill As Crude Price War Sends Oil To 4-Year Low', 'Investor Movement Index Summary: February 2020', ""101 Stocks Moving In Monday's Mid-Day Session""]",3
AAPL,2020-03-10,"[""Peloton Shares Tick To Session Low As Hearing Report Apple Working On 'Guided Workout' Fitness App"", 'Morning Market Stats In 5 Minutes', 'The Main Challenges Faced By The Upcoming EV Era', 'Jedi Wars Between Amazon And Microsoft Are Still Very Much On', 'Airlines Continue Suffering As Delta, American Announce Schedule Cuts, But Crude Bounces', ""Shares of several technology companies are trading higher as markets look to rebound from Monday's selloff. The technology sector has been highly impacted by the coronavirus due to its China exposure and sensitivity to economic conditions."", 'UBS Maintains Buy on Apple, Lowers Price Target to $335', '123 Biggest Movers From Yesterday']",8
AAPL,2020-03-11,"['CME To Shut Down Chicago Trading Floor Over Coronavirus Concerns', ""Here's How Large Option Traders Are Playing High-Yield AT&T As Market Falls"", 'Apple To Close All Italy Stores Until Further Notice', 'Despite Volatility, FANG Continues to Prove Its Popularity', ""UPDATE: BofA Securities On Apple Notes 'We reiterate Buy on large cash balance/optionality, expected new buyback authorization in April and upcoming 5G cycle'"", ""UPDATE: BofA Securities Reiterates Buy On Apple, Lowers Target To $320 As Firm Notes 'Lowering estimates on weaker global demand, some delay in product launches'"", 'BofA Lowers Apple Price Target Due To Potential Delay In Product Launches', 'As Market Gyrates, Investors Seek Direction From Large Stocks Including Apple, Microsoft', 'Only Technology Can Save And Lead The Automotive Industry Forward', 'Coronavirus – Another Severe Hit To The Automotive Industry', 'B of A Securities Reiterates Buy on Apple, Lowers Price Target to $320', 'Hearing B of A Securities Maintains Buy On Apple, Lowers Target From $350 to $320', 'Shares of several companies in the technology, software and semiconductor space are trading lower as equities sell off amid coronavirus fears. The virus spread has disrupted economic activity across sectors and caused global macro uncertainty.', 'Google Asks All North American Employees To Work From Home As Coronavirus Spreads']",14
AAPL,2020-03-12,"['Selling Picks Up In Worst Day Since 1987 As Fear Continues To Drive Markets Lower', ""Financial Pro Says Trump 'Solidified' Fears Of Economic Slowdown"", 'E-Commerce Is Among The Lucky Ones With The Tools To Amortize The Coronavirus Blow', ""Technical Pro: Apple A 'Great Company,' Not A 'Great Stock' Right Now"", 'Shares of several technology, software and semiconductor companies are trading lower as equities sell off amid continued global coronavirus concerns. The virus has caused global economic disruption and negatively impacted stocks across sectors.']",5
AAPL,2020-03-13,"[""Canopy Growth's Storz & Bickel Bypasses Apple's Vaping App Ban With New Web App"", ""88 Stocks Moving In Friday's Mid-Day Session"", 'VirnetX Receives ~$454M Payment In Apple Suit', ""Apple's Worldwide Developers Conference 2020 To Be Held In Online Format"", 'Regulators Aiming To Break Of Big Tech Are Receiving ""Help"" From COVID-19', 'Apple Gets Upgrade, Futures Reverse Downward Course As Washington Stimulus Awaited', 'Oracle Might Not Challenge Cloud Providers But Investors Are Pleased', ""Apple shares are trading higher after Wells Fargo upgraded the stock from Equal-Weight to Overweight and announced a $315 price target. NOTE: The overall market is also rebounding from Thursday's crash."", 'Apple Reopens All China Stores As Coronavirus Cases Drop In Country', 'Apple Still Looks to Ship 90M AirPods in 2020', 'Wells Fargo Upgrades Apple to Overweight, Announces $315 Price Target']",11
AAPL,2020-03-14,"[""Barron's Picks And Pans: Roundtable Picks, Airline And Oil Stocks, And More"", 'All Apple Stores Outside Of China To Temporarily Close']",2
AAPL,2020-03-15,"[""Starbucks Switches To 'To Go' Model As Coronavirus Spreads, Closes Some Stores"", ""Loup Ventures' Munster Says Apple 'Is Doing It Right' With Coronavirus Response"", 'Bulls And Bears Of The Week: Apple, Boeing, FANGs And More', 'Nike Stores Across The World To Temporarily Close']",4
AAPL,2020-03-16,"[""McDonald's Switches To 'Walk-In-Take-Out' Model In All Company-Owned Restaurants Due To Coronavirus"", 'Amazon Hiring 100,000 Workers To Meet Increased Demand As Coronavirus Forces Social Distancing', ""Apple Analyst Says 'Uncertainty Remains Too High' To Buy The Dip"", ""95 Stocks Moving In Monday's Mid-Day Session"", ""5 Reasons Why Amazon Is Morgan Stanley's Top Pick"", 'Banks, Airlines, Apple Among Stocks Being Hit Hard Despite Fed Cutting Rates To Zero', ""22 Stocks Moving in Monday's Pre-Market Session"", 'Apple shares are trading lower following a report suggesting the company was fined €1.1B by the French Competition Authority for anti-competitive behavior in its distribution network.', 'Apple Fined €1.1B byFrench Competition Authority for Anti-competitive Behaviour in Its Distribution Network', '144 Biggest Movers From Friday', 'Walmart Shortens Store Operating Hours In Response To Coronavirus Outbreak']",11
AAPL,2020-03-17,"[""UPDATE: Apple Previously Announced Closing Of Retail Locations Til Mar. 27, Now Says 'Until Further Notice'"", 'Hearing Apple To Close All Retail Stores Until Further Notice', ""Apple shares are trading higher as tech stocks rebound following Monday's crash. Morgan Stanley analysts today maintained an overweight rating on the stock."", 'Trump Says Will Expand Medicare Telehealth Service Offers, Working With Skype, Apple For FaceTime', 'Jefferies Reiterates Buy on Apple, Lowers Price Target to $320', '10 Biggest Price Target Changes For Tuesday', 'Morgan Stanley Maintains Overweight on Apple, Lowers Price Target to $328', 'A Peek Into The Markets: US Stock Futures Gain Ahead Of Economic Reports', 'Apple Hit With $1.2B Fine By French Antitrust Authorities', '110 Biggest Movers From Yesterday', ""So-Called 'MAGA' Stocks Lose $1T Market Value In A Single Day"", 'NBCUniversal Releases Movies On-Demand Same Time As Theaters Due To Coronavirus']",12
AAPL,2020-03-18,"['Oil Giants Persist In Paradoxical Behavior, But They Can Afford It', 'Travel, Airline Stocks In Focus Amid Fresh Weakness; Amazon To Hire 100,000 Workers', 'Shares of several technology, software and semiconductor companies are trading lower as equities sell off amid continued global coronavirus concerns. The virus has caused global economic disruption and negatively impacted stocks across sectors.', 'Apple Unveils New iPad Pro And New MacBook Air']",4
AAPL,2020-03-19,"['Will Big Tech Come To The Rescue Against COVID-19?', 'Canaccord Genuity Maintains Buy on Apple, Lowers Price Target to $300']",2
AAPL,2020-03-20,"['Shares of several technology companies are trading higher. Market strength has been attributed to strong containment measures taken by California, rebound in oil, central bank actions and expectations of increased technology usage amid the virus outbreak.', 'Apple Limits Online iPhone Purchases To Two After Closing All Stores Outside China']",2
AAPL,2020-03-21,"[""Barron's Picks And Pans: Big Tech Picks, Bank Stocks Large and Small And More""]",1
AAPL,2020-03-23,"['Twitter Expects Q1 Operating Loss As Pandemic Hurts Ad Sales', ""Foxconn Has Secured Enough Workers To Meet 'Seasonal Demand' At All Major Chinese Plants"", ""Shares of some technology companies are trading lower amid market volatility. Sunday's fiscal stimulus bill failed a procedural senate vote while the Fed on Monday announced stimulus measures. NOTE: Sector is mixed, with some names up for the session."", 'Nomura Instinet Maintains Neutral on Apple, Lowers Price Target to $225', 'How Tim Cook, Mark Zuckerberg And Other Tech CEOs Are Helping Fight The Global Pandemic', '3 ETFs To Short The Dow', 'Apple Dropped Two-device Limit on Online Purchases of iPhones', 'Cisco Pledges $225M To Fight Global Coronavirus Pandemic']",8
AAPL,2020-03-24,"[""'Apple Expects to Start Reopening Stores in First Half of April' -Bloomberg"", 'Apple Expects Stores To Start Re-Opening In First Half On April', 'Apple Store Closures Could Leave Some Device Owners In The Lurch: Report', ""75 Stocks Moving In Tuesday's Mid-Day Session"", 'Rise In Semiconductor, Cloud Computing Stocks Could Set Tone For Broader Economy', 'Shares of several technology companies are trading higher amid market strength on hopes of a US economic stimulus package agreement.', ""26 Stocks Moving in Tuesday's Pre-Market Session""]",7
AAPL,2020-03-25,"['Tim Cook Announces Apple 10M Masks Donation To US Health Workers', 'Apple Shares Tank As Report Says New iPhone Launch Could Be Moved To Next Year', ""'Apple weighs delaying 5G iPhone launch by months, sources say' -Nikkei"", ""Apple's Tim Cook Says Has Been Able To 'Source 10M masks for the US and millions more' For Regions In Europe, Says ' Our ops teams are helping to find and purchase masks from our supply chain in coordination with governments around the world.'"", 'COVID-19 Crisis Could Make Big Tech Even Stronger', 'Tesla, Wayfair And Other Profitable Short Trades Could Get A Short Covering Boost', ""'Huawei is set to release its #P40 phone series on Thursday, a move that analysts predicted could help push up its phone shipments and even surpass major counterpart @Apple in the short term' -Tweet From China's Global Times Biz"", 'Airline Shares Jump As Stimulus Agreement Offers Relief, While Nike Up On Earnings', 'A Peek Into The Markets: US Stock Futures Surge After Senate, White House Strike Deal On Coronavirus Stimulus Package', 'Apple Said to be Accelerating Production Relocation Outside China', 'Deutsche Bank Upgrades Apple to Buy, Announces $270 Price Target', '120 Biggest Movers From Yesterday']",12
AAPL,2020-03-26,['Roku Or Netflix – Which One Is Better In The Near Term?'],1
AAPL,2020-03-27,"[""Loup Ventures Says Believes Demand For 5G iPhone Will Be Initially Muted 'as it will reflect overall consumer demand in the fall which we expect to be soft'; Says Believes Apple Is 'One Of The Best Ways' To Invest In 5G Transformation"", ""Loup Ventures Says 'Taking the view that China production will remain stable (which can quickly change), the supply chain should be positioned to supply several million iPhones by the end of September, in line with supply for previous launches.'"", 'Loup Ventures Says Believes It Is Still Likely Apple Will Host A Fall 5G iPhone Launch; Notes China Manufacturing And Assembly, Including Some Apple Partners Are Starting To Ramp Up Production', 'For Some Companies, A Sliver Of Good News During COVID-19', ""'New #COVID19 screening app developed by @Apple, in partnership with @CDCgov, @fema and the @WhiteHouse #coronavirus task force.' -VOA's Steve Herman"", 'Regional Banks, Other Cyclicals Saw Buying Interest Yesterday Amid Stimulus Hopes', ""'Apple iPhone demand destruction 'intensifying,' says Cleveland Research' - Walter Bloomberg"", ""Shares of several technology, semiconductor, and software companies are trading lower as a potential sell-off from this week's strength. While US stimulus legislation has boosted economic optimism, demand concerns still exist amid the coronavirus."", ""1,000 Google Employees Volunteer To Help Expand Sister Company's Coronavirus Testing Program"", 'Apple PCB Suppliers Dismiss Speculation about 5G iPhone Delay', 'Huawei Releases Latest Flagship Phone Amid Global Coronavirus Lockdown', ""Trump Lashes Out At Washington, Michigan Governors For Pandemic Response: 'We Don't Like To See The Complaints'""]",12
AAPL,2020-03-28,['Options Trading: What Is It And How To Do It?'],1
AAPL,2020-03-29,['8 Best Investment Strategies During A Recession'],1
AAPL,2020-03-30,"['Ad Sales Decrease With Covid-19 But Digital Holds The Key', ""Shares of several technology companies are trading higher as equities continue to rise following last week's rebound amid US stimulus measures."", 'UBS Maintains Buy on Apple, Lowers Price Target to $290', ""Apple Supplier Foxconn's Profit Falls Nearly 25% Year-Over-Year: Report""]",4
