Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
2020-06-10 07:33:26 UTC,Tech Stocks And FAANGS Strong Again To Start Day As Market Awaits Fed,AAPL,https://www.benzinga.com/government/20/06/16223418/tech-stocks-and-faangs-strong-again-to-start-day-as-market-awaits-fed,JJ Kinahan,,,,,,
2020-06-10 04:14:08 UTC,10 Biggest Price Target Changes For Wednesday,AAPL,https://www.benzinga.com/analyst-ratings/price-target/20/06/16220539/10-biggest-price-target-changes-for-wednesday,Lisa Levin,,,,,,
2020-06-09 20:52:01 UTC,Big Tech Reaches New Record Heights At The Stock Market,AAPL,https://www.benzinga.com/news/20/06/16218615/big-tech-reaches-new-record-heights-at-the-stock-market,Neer Varshney,,,,,,
2020-06-09 11:14:07 UTC,Why Apple's Stock Is Trading Higher Today,AAPL,https://www.benzinga.com/news/20/06/16215446/why-apples-stock-is-trading-higher-today,Tanzeel Akhtar,,,,,,
2020-06-09 09:58:46 UTC,Apple Could Announce In-House Chips For Macs At WWDC: Report,AAPL,https://www.benzinga.com/news/20/06/16214115/apple-could-announce-in-house-chips-for-macs-at-wwdc-report,Shanthi Rexaline,,,,,,
2020-06-02 00:00:00 UTC,'Apple is tracking iPhones stolen by looters' -Earlier NY Post Article,AAPL,https://www.benzinga.com/news/20/06/16161103/apple-is-tracking-iphones-stolen-by-looters-earlier-ny-post-article,Benzinga Newsdesk,,,,,,
2020-06-02 00:00:00 UTC,MoneyGram Shares Jump 50% As Western Union Reportedly Looks For Acquisition,AAPL,https://www.benzinga.com/m-a/20/06/16156730/moneygram-shares-jump-50-as-western-union-reportedly-looks-for-acquisition,Neer Varshney,,,,,,
2020-06-02 00:00:00 UTC,Tesla CEO Musk Says Other Three Officers Should Be Charged In Floyd's Murder Case,AAPL,https://www.benzinga.com/news/20/06/16156648/tesla-ceo-musk-says-other-three-officers-should-be-charged-in-floyds-murder-case,Neer Varshney,,,,,,
2020-06-02 00:00:00 UTC,A Peek Into The Markets: US Stock Futures Up; Crude Oil Rises Over 2%,AAPL,https://www.benzinga.com/news/earnings/20/06/16157378/a-peek-into-the-markets-us-stock-futures-up-crude-oil-rises-over-2,Lisa Levin,,,,,,
2020-06-01 00:00:00 UTC,Apple Cuts iPhone Prices in China To Push Sales As Country Reopens Economy,AAPL,https://www.benzinga.com/news/20/06/16156462/apple-cuts-iphone-prices-in-china-to-push-sales-as-country-reopens-economy,Shivdeep Dhaliwal,,,,,,
2020-06-01 00:00:00 UTC,Carter Worth And Mike Khouw's Apple Trade,AAPL,https://www.benzinga.com/markets/options/20/06/16148745/carter-worth-and-mike-khouws-apple-trade,Craig Jones,,,,,,
2020-06-01 00:00:00 UTC,Volume Production of New iPhone Models to Begin in Q3 2020,AAPL,https://www.benzinga.com/news/20/06/16147117/volume-production-of-new-iphone-models-to-begin-in-q3-2020,Charles Gross,,,,,,
2020-05-28 00:00:00 UTC,Trump's Executive Order To Expose Social Media To Lawsuits Over Content Policies,AAPL,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16128213/trumps-executive-order-to-expose-social-media-to-lawsuits-over-content-policies,Elizabeth Balboa,,,,,,
2020-05-28 00:00:00 UTC,Costco Earnings On Tap After Close As Investors Mull Strong Toll Brothers Results,AAPL,https://www.benzinga.com/news/20/05/16127758/costco-earnings-on-tap-after-close-as-investors-mull-strong-toll-brothers-results,JJ Kinahan,,,,,,
2020-05-28 00:00:00 UTC,Martin Scorsese's Next Movie Will Be Financed By Apple: Report,AAPL,https://www.benzinga.com/news/20/05/16124204/martin-scorseses-next-movie-will-be-financed-by-apple-report,Shivdeep Dhaliwal,,,,,,
2020-05-27 00:00:00 UTC,Leidos Awarded $84.6M Payment from VirnetX Lawsuit vs Apple,AAPL,https://www.benzinga.com/news/20/05/16123778/leidos-awarded-84-6m-payment-from-virnetx-lawsuit-vs-apple,Charles Gross,,,,,,
2020-05-27 00:00:00 UTC,The Most Popular Smartphone Model Of Q1,AAPL,https://www.benzinga.com/news/20/05/16115833/the-most-popular-smartphone-model-of-q1,Shanthi Rexaline,,,,,,
2020-05-27 00:00:00 UTC,This New Tool Will Tell You Whether Or Not An Options Spread Is A Good Deal,AAPL,https://www.benzinga.com/general/education/20/05/16120055/this-new-tool-will-tell-you-whether-or-not-an-options-spread-is-a-good-deal,Spencer Israel,,,,,,
2020-05-27 00:00:00 UTC,3 Apple Analysts Lift Price Targets: Why They're Optimistic On iPhone's Trajectory,AAPL,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16116516/3-apple-analysts-lift-price-targets-why-theyre-optimistic-on-iphones-trajectory,Shanthi Rexaline,,,,,,
